brand_name,generic_name,manufacturer_name,product_ndc,route,product_type,rxcui,stock_quantity
Olay Regenerist Regenerating with Sunscreen Broad Spectrum SPF 15,"AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE",The Procter & Gamble Manufacturing Company,69423-719,TOPICAL,HUMAN OTC DRUG,,86
Roll On Anti-Perspirant (Alcohol Free),ALUMINUM CHLOROHYDRATE,Cardinal Health,63517-803,TOPICAL,HUMAN OTC DRUG,,15
Nu Skin Sunright Lip Balm Broad Spectrum SPF 15,"OCTINOXATE, AVOBENZONE, AND OCTOCRYLENE","NSE Products, Inc",62839-6201,TOPICAL,HUMAN OTC DRUG,,75
Attitude Diaper Cream Zinc Unscented,ZINC OXIDE,9055-7588 Quebec Inc. (Attitude),61649-260,TOPICAL,HUMAN OTC DRUG,245660,4
Famotidine,FAMOTIDINE,"PD-Rx Pharmaceuticals, Inc.",72789-331,ORAL,HUMAN PRESCRIPTION DRUG,310273,28
Equate Honey Lemon Cough Drops,MENTHOL,WalMart,79903-192,ORAL,HUMAN OTC DRUG,1250189,41
Prime Tooth Care Hami Melon,SODIUM FLUORIDE,Prime Tooth Care LLC,87053-003,DENTAL,HUMAN OTC DRUG,,31
Dragon Pain Relieving Balm,"CAMPHOR, MENTHOL","Americanna Wellness, Inc.",83552-101,TOPICAL,HUMAN OTC DRUG,,17
Eminence Radiant Protection SPF Fluid,ZINC OXIDE,Eminence Organic Skin Care,15751-3506,TOPICAL,HUMAN OTC DRUG,,18
Aluminium Fluoratum,ALUMINIUM FLUORATUM,"Hahnemann Laboratories, INC.",37662-3560,ORAL,HUMAN OTC DRUG,,84
Foster and Thrive Original Formula Eye Drops,TETRAHYDROZOLINE HCL,Strategic Sourcing Services LLC,70677-1159,OPHTHALMIC,HUMAN OTC DRUG,1052943,18
Dragon Pain Relieving Balm,"CAMPHOR, MENTHOL","Americanna Wellness, Inc.",83552-105,TOPICAL,HUMAN OTC DRUG,,30
Olanzapine,OLANZAPINE,"Lannett Company, Inc.",0527-3161,ORAL,HUMAN PRESCRIPTION DRUG,312076,93
BKEMV,ECULIZUMAB-AEEB,Amgen Inc,55513-180,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,2706351,87
PETITCOCHON TONE UP BODY SUN,"ADENOSINE, NIACINAMIDE",LAON COMMERCE co ltd,82083-0022,TOPICAL,HUMAN OTC DRUG,,91
Aluminium Nitricum,ALUMINIUM NITRICUM,"Hahnemann Laboratories, INC.",37662-3568,ORAL,HUMAN OTC DRUG,,47
ORFADIN,NITISINONE,Swedish Orphan Biovitrum AB (publ),66658-204,ORAL,HUMAN PRESCRIPTION DRUG,1790310,71
Calm Mood,"GARLIC, AVENA SATIVA FLOWERING TOP, ANGELICA ARCHANGELICA ROOT, ARABICA COFFEE BEAN, HOLY BASIL LEAF, PASSIFLORA EDULIS FLOWER, SCUTELLARIA LATERIFLORA WHOLE, VERBENA HASTATA TOP, AND MACROPIPER METHYSTICUM ROOT",Forces of Nature,51393-5006,SUBLINGUAL,HUMAN OTC DRUG,,85
Neutrogena Mineral Invisible Daily Defense Face Sunscreen Broad Spectrum SPF 30,"TITANIUM DIOXIDE, ZINC OXIDE",Kenvue Brands LLC,69968-0815,TOPICAL,HUMAN OTC DRUG,,29
Tri-Vite Drops with Fluoride,"ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D","Method Pharmaceuticals, LLC",58657-323,ORAL,HUMAN PRESCRIPTION DRUG,1365980,35
ondansetron hydrochloride,ONDANSETRON HYDROCHLORIDE,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8185,ORAL,HUMAN PRESCRIPTION DRUG,198052,78
MediChoice Moisturizing Lip Balm SPF15,"AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE","O&M HALYARD, INC.",39892-0940,TOPICAL,HUMAN OTC DRUG,,9
Azithromycin,AZITHROMYCIN,Preferred Pharmaceuticals Inc.,68788-7598,ORAL,HUMAN PRESCRIPTION DRUG,248656,92
Divalproex Sodium,DIVALPROEX SODIUM,Mylan Pharmaceuticals Inc.,0378-0472,ORAL,HUMAN PRESCRIPTION DRUG,1099563,6
Metoclopramide,METOCLOPRAMIDE,American Health Packaging,60687-837,ORAL,HUMAN PRESCRIPTION DRUG,104884,59
Dove,EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK ANTIPERSPIRANT DEODORANT,Conopco Inc. d/b/a/ Unilever,64942-2135,TOPICAL,HUMAN OTC DRUG,,42
Dove,EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER ANTIPERSPIRANT DEODORANT,Conopco Inc. d/b/a/ Unilever,64942-2134,TOPICAL,HUMAN OTC DRUG,,78
Dove,EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA ANTIPERSPIRANT DEODORANT,Conopco Inc. d/b/a/ Unilever,64942-2137,TOPICAL,HUMAN OTC DRUG,,39
Acetaminophen,ACETAMINOPHEN,WALMART INC.,79903-132,ORAL,HUMAN OTC DRUG,1148399,100
Dove,EVEN TONE PLUS NIACINAMIDE ROSEWOOD AND POWDER ANTIPERSPIRANT DEODORANT,Conopco Inc. d/b/a/ Unilever,64942-2136,TOPICAL,HUMAN OTC DRUG,,22
Childrens Allergy Relief,DIPHENHYDRAMINE HCL,Best Choice,63941-505,ORAL,HUMAN OTC DRUG,1049906,47
Lamotrigine,LAMOTRIGINE,"Endo USA, Inc.",49884-484,ORAL,HUMAN PRESCRIPTION DRUG,103968,98
First Aid Burn Cream,FIRST AID BURN CREAM,ProStat First Aid LLC,58228-2309,TOPICAL,HUMAN OTC DRUG,1012100,37
allergy relief,LORATADINE,CVS Pharmacy,59779-612,ORAL,HUMAN OTC DRUG,311372,56
Cisplatin,CISPLATIN,Sagent Pharmaceuticals,25021-253,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,309311,95
Artistry Youth Xtend Lifting Smoothing Foundation Shade Chiffon L2C1,"OCTINOXATE, OXYBENZONE",Amway Corp,50390-239,TOPICAL,HUMAN OTC DRUG,,65
Equate SF Menthol Cough Drops,MENTHOL,WalMart,79903-185,ORAL,HUMAN OTC DRUG,476973,73
MILK OF MAGNESIA,MAGNESIUM HYDROXIDE,Strategic Sourcing Services LLC,70677-1072,ORAL,HUMAN OTC DRUG,253017,83
Nicotine Polacrilex,NICOTINE POLACRILEX,Dr. Reddy's Laboratories Inc.,43598-484,ORAL,HUMAN OTC DRUG,359817,83
Head and Shoulders Bare Minimal Ingredients,PYRITHIONE ZINC,The Procter & Gamble Manufacturing Company,69423-721,TOPICAL,HUMAN OTC DRUG,209884,85
Head and Shoulders Bare Minimal Ingredients Soothing Hydration,PYRITHIONE ZINC,The Procter & Gamble Manufacturing Company,69423-722,TOPICAL,HUMAN OTC DRUG,209884,14
Amlodipine Besylate,AMLODIPINE BESYLATE,"Lupin Pharmaceuticals, Inc.",68180-233,ORAL,HUMAN PRESCRIPTION DRUG,197361,46
Private Label Moisturizing Oil Free Paraben Free SPF43,SUNSCREEN,"Swiss-American CDMO, LLC",60232-0007,TOPICAL,HUMAN OTC DRUG,,25
Aluminium Phosphoricum,ALUMINIUM PHOSPHORICUM,"Hahnemann Laboratories, INC.",37662-3576,ORAL,HUMAN OTC DRUG,,68
perphenazine,PERPHENAZINE,Zydus Lifesciences Limited,70771-1041,ORAL,HUMAN PRESCRIPTION DRUG,198075,44
Power Stick For Her Roll- On Antiperspirant Deodorant Powder Fresh,ALUMINUM SESQUICHLOROHYDRATE,"A.P. Deauville, LLC",42913-038,TOPICAL,HUMAN OTC DRUG,,60
Naproxen,NAPROXEN,Bryant Ranch Prepack,71335-0095,ORAL,HUMAN PRESCRIPTION DRUG,198012,89
Foster and Thrive Lubricating Tears Lubricant Eye Drops,"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",Strategic Sourcing Services LLC,70677-1160,OPHTHALMIC,HUMAN OTC DRUG,477589,17
Foster and Thrive Redness Relief Eye Drops,"GLYCERIN, NAPHAZOLINE HCL",Strategic Sourcing Services LLC,70677-1161,OPHTHALMIC,HUMAN OTC DRUG,1046700,71
Daytime Cold and Flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",Family Dollar (FAMILY WELLNESS),55319-960,ORAL,HUMAN OTC DRUG,1113705,43
Rivastigmine Tartrate,RIVASTIGMINE TARTRATE,Alembic Pharmaceuticals Inc.,62332-063,ORAL,HUMAN PRESCRIPTION DRUG,312835,30
Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,"Asclemed USA, Inc.",76420-184,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,1665459,75
Sinusitis Drops 2060,SINUSITIS DROPS,Professional Complementary Health Formulas,63083-2060,ORAL,HUMAN OTC DRUG,,18
Histastat Pollen,"BAPTISIA TINCTORIA, ECHINACEA (ANGUSTIFOLIA), ADRENALINUM, ALLIUM CEPA, AMBROSIA ARTEMISIAEFOLIA, ARSENICUM ALBUM, EUPHRASIA OFFICINALIS, HISTAMINUM HYDROCHLORICUM, NATRUM MURIATICUM, NATRUM SULPHURICUM, NUX VOMICA, PHOSPHORUS, PULSATILLA (PRATENSIS), SABADILLA, SINAPIS NIGRA, SOLIDAGO VIRGAUREA, SULPHUR, WYETHIA HELENIOIDES","Energique, Inc.",44911-0674,ORAL,HUMAN OTC DRUG,,82
Baby XtraCare Oatmeal,DIMETHICONE,Rejoice International,57337-070,TOPICAL,HUMAN OTC DRUG,876980,19
Dove,TEENS STRAWBERRY SPARKLE 48H ANTIPERSPIRANT,"Conopco, Inc. d/b/a Unilever",64942-2133,TOPICAL,HUMAN OTC DRUG,,87
Dove,ADVANCED COCONUT WATER AND LIME DRY SPRAY 72H ANTIPERSPIRANT DEODORANT,"Conopco, Inc. d/b/a Unilever",64942-2131,TOPICAL,HUMAN OTC DRUG,,58
"Burn Ease, 3.5g","BURN EASE, 3.5G",ProStat First Aid LLC,58228-3883,TOPICAL,HUMAN OTC DRUG,1011852,27
DNA Pancreas Formula,"LYCOPODIUM CLAVATUM, PANCREAS SUIS, DNA, INSULINUM (HUMAN), PHOSPHORICUM ACIDUM, RADIUM BROMATUM, URANIUM NITRICUM","Nutritional Specialties, Inc.",83027-0302,ORAL,HUMAN OTC DRUG,,97
Dipyridamole,DIPYRIDAMOLE,Zydus Pharmaceuticals USA Inc.,68382-187,ORAL,HUMAN PRESCRIPTION DRUG,197622,39
Naproxen,NAPROXEN,TruPharma LLC,52817-380,ORAL,HUMAN PRESCRIPTION DRUG,311915,64
Degasa Hand Sanitizer Lemon Lime Scent,ALCOHOL,"Degasa, S.A. de C.V.",67326-010,TOPICAL,HUMAN OTC DRUG,581662,63
Acetaminophen,ACETAMINOPHEN,"NuCare Pharmaceuticals,Inc.",68071-3454,ORAL,HUMAN OTC DRUG,313782,27
"PS-3885 Burn Ease, 3.5g","PS-3885 BURN EASE, 3.5G",ProStat First Aid LLC,58228-3885,TOPICAL,HUMAN OTC DRUG,1011852,70
"PS-3866 Burn Ease, 0.9g","PS-3866 BURN EASE, 0.9G",ProStat First Aid LLC,58228-3866,TOPICAL,HUMAN OTC DRUG,1011852,40
Rompe Pechito DM for Kids,"DEXTROMETHORPHAN HBR, GUAIFENESIN",Efficient Laboratories Inc,58593-276,ORAL,HUMAN OTC DRUG,996520,88
Foster and Thrive Castor Oil,CASTOR OIL,"Strategic Sourcing Services, LLC",70677-1085,ORAL,HUMAN OTC DRUG,204691,50
buPropion Hydrochloride XL,BUPROPION HYDROCHLORIDE,Oryza pharmaceuticals Inc.,72516-035,ORAL,HUMAN PRESCRIPTION DRUG,993541,96
loratadine,LORATADINE,Rite Aid Corporation,11822-0919,ORAL,HUMAN OTC DRUG,311373,9
TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,"Sun Pharmaceutical Industries, Inc.",47335-859,ORAL,HUMAN PRESCRIPTION DRUG,833709,22
Triple Prep SPF 40,"AVOBENZONE, OCTISALATE, OCTOCRYLENE, HOMOSALATE","Supergoop, LLC",75936-621,TOPICAL,HUMAN OTC DRUG,,98
CVS PHARMACY Childrens Cold and Allergy,BROMPHENIRAMINE MALEATE,"CVS PHARMACY, INC.",51316-693,ORAL,HUMAN OTC DRUG,2685263,0
Lorbrena,LORLATINIB,U.S. Pharmaceuticals,63539-927,ORAL,HUMAN PRESCRIPTION DRUG,2103169,19
Allopurinol,ALLOPURINOL,Bryant Ranch Prepack,63629-2113,ORAL,HUMAN PRESCRIPTION DRUG,197320,41
DCH Hemorrhoidal,"GLYCERIN 14.4%, LIDOCAINE 5%, PETROLATUM 15%, PHENYLEPHRINE HCL 0.25%","Derma Care Research Labs, LLC",72839-217,TOPICAL,HUMAN OTC DRUG,2642220,12
Gas Relief Ultra Strength,SIMETHICONE,Walgreens,0363-8740,ORAL,HUMAN OTC DRUG,252294,85
Lidocaine Hydrochloride,LIDOCAINE HYDROCHLORIDE,"NuCare Pharmaceuticals,Inc.",68071-3449,ORAL,HUMAN PRESCRIPTION DRUG,1010739,28
Aluminium Sulphuricum,ALUMINIUM SULPHURICUM,"Hahnemann Laboratories, INC.",37662-3584,ORAL,HUMAN OTC DRUG,,73
"PS - 2895 Triple Antibiotic , 0.5g","PS - 2895 TRIPLE ANTIBIOTIC , 0.5G",Prostat First Aid LLC,58228-2895,TOPICAL,HUMAN OTC DRUG,204602,91
Amanita Pantherina,AMANITA PANTHERINA,"Hahnemann Laboratories, INC.",37662-3592,ORAL,HUMAN OTC DRUG,,8
Clotrimazole,CLOTRIMAZOLE,Preferred Pharmaceuticals Inc.,68788-8830,TOPICAL,HUMAN OTC DRUG,309367,89
Diclofenac Sodium,DICLOFENAC SODIUM,"NuCare Pharmaceuticals,Inc.",68071-3456,TOPICAL,HUMAN OTC DRUG,855633,41
Tofidence,TOCILIZUMAB,Biogen MA Inc,64406-022,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,2680287,56
Ammonium Bromatum,AMMONIUM BROMATUM,"Hahnemann Laboratories, INC.",37662-3600,ORAL,HUMAN OTC DRUG,,0
KIZO LAB UV DEFENSE CLEAR SUNSCREN SPF50,"AVOBENZONE,HOMOSALATE,OCTISALATE,OCTOCRYLENE",YB CHEMIA LLC,81208-203,TOPICAL,HUMAN OTC DRUG,,1
Ammonium Carbonicum,AMMONIUM CARBONICUM,"Hahnemann Laboratories, INC.",37662-3608,ORAL,HUMAN OTC DRUG,,68
Foster and Thrive Long Lasting Lubricant Eye Drops,"POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL",Strategic Sourcing Services LLC,70677-1162,OPHTHALMIC,HUMAN OTC DRUG,477589,24
Mentholatum Pain Relieving,"MENTHOL, METHYL SALICYLATE",The Mentholatum Company,10742-8169,TOPICAL,HUMAN OTC DRUG,282812,62
Omeprazole,OMEPRAZOLE,Chain Drug Marketing Association INC,63868-471,ORAL,HUMAN OTC DRUG,402014,5
Low Dose Aspirin,ASPIRIN,"P & L Development, LLC",59726-065,ORAL,HUMAN OTC DRUG,308416,55
Reef Kids SPF 30 Oxybenzone Free,"OCTOCRYLENE, OCTISALATE, AND AVOBENZONE","Tropical Seas, Inc.",52854-538,TOPICAL,HUMAN OTC DRUG,,8
Oseltamivir Phosphate,OSELTAMIVIR PHOSPHATE,"Lannett Company, Inc.",0527-5137,ORAL,HUMAN PRESCRIPTION DRUG,1115698,26
Botnia Gentle Sun SPF 30,ZINC OXIDE,"Botnia, Inc",87461-904,TOPICAL,HUMAN OTC DRUG,,32
Extra Strength Pain Relief,ACETAMINOPHEN,VALU MERCHANDISERS COMPANY,63941-104,ORAL,HUMAN OTC DRUG,198440,79
LAMIVUDINE and ZIDOVUDINE,LAMIVUDINE AND ZIDOVUDINE,Bryant Ranch Prepack,71335-0639,ORAL,HUMAN PRESCRIPTION DRUG,200082,32
Vamousse Pro Total Lice Emergency Kit,PEDICULICIDE,Alliance Pharma Inc.,72238-005,TOPICAL,HUMAN OTC DRUG,,4
PredniSONE,PREDNISONE,A-S Medication Solutions,50090-6623,ORAL,HUMAN PRESCRIPTION DRUG,312617,7
ATROPINE SULFATE,ATROPINE SULFATE,"HF Acquisition Co LLC, DBA HealthFirst",51662-1626,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1190795,35
Potassium Chloride,POTASSIUM CHLORIDE,"Epic Pharma, LLC",42806-422,ORAL,HUMAN PRESCRIPTION DRUG,312529,31
Gastrocrom,CROMOLYN SODIUM,Viatris Specialty LLC,0037-0678,ORAL,HUMAN PRESCRIPTION DRUG,831261,82
Duloxetine Delayed-Release,DULOXETINE HYDROCHLORIDE,"Golden State Medical Supply, Inc.",51407-817,ORAL,HUMAN PRESCRIPTION DRUG,596926,4
Prednisone,PREDNISONE,Bryant Ranch Prepack,63629-2254,ORAL,HUMAN PRESCRIPTION DRUG,198144,33
tranexamic acid,TRANEXAMIC ACID,"Avenacy, Inc.",83634-401,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,238720,37
Doxorubicin Hydrochloride,DOXORUBICIN HYDROCHLORIDE,Pfizer Laboratories Div Pfizer Inc,0069-0255,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1191138,74
Palonosetron Hydrochloride,PALONOSETRON HYDROCHLORIDE,"Avenacy, Inc.",83634-777,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1728055,28
Colgate Max Fresh Cool Mint,SODIUM FLUORIDE,Colgate-Palmolive Company,35000-903,DENTAL,HUMAN OTC DRUG,416783,18
Ammonium Causticum,AMMONIUM CAUSTICUM,"Hahnemann Laboratories, INC.",37662-3616,ORAL,HUMAN OTC DRUG,,11
Medline,"MENTHOL, WHITE PETROLATUM, ZINC OXIDE","Medline Industries, LP",53329-156,TOPICAL,HUMAN OTC DRUG,2642278,93
Ibuprofen Dye Free,IBUPROFEN,CVS Pharmacy,59779-438,ORAL,HUMAN OTC DRUG,310965,49
Iclevia,LEVONORGESTREL AND ETHINYL ESTRADIOL,Aurobindo Pharma Limited,65862-865,,HUMAN PRESCRIPTION DRUG,238019,71
Amitriptyline Hydrochloride,AMITRIPTYLINE HYDROCHLORIDE,A-S Medication Solutions,50090-4005,ORAL,HUMAN PRESCRIPTION DRUG,856834,97
Ammonium Muriaticum,AMMONIUM MURIATICUM,"Hahnemann Laboratories, INC.",37662-3624,ORAL,HUMAN OTC DRUG,,19
Ammonium Phosphoricum,AMMONIUM PHOSPHORICUM,"Hahnemann Laboratories, INC.",37662-3632,ORAL,HUMAN OTC DRUG,,33
Childrens Delsym Cough Plus Cold Night Time,"ACETAMINOPHEN, DIPHENHYDRAMINE HYDROCHLORIDE, AND PHENYLEPHRINE HYDROCHLORIDE",RB Health (US) LLC,63824-212,ORAL,HUMAN OTC DRUG,1375932,2
Equate Dry Scalp 2 in 1 Dandruff Anti-Dandruff,PYRITHIONE ZINC,"Wal-Mart Stores, Inc.",49035-256,TOPICAL,HUMAN OTC DRUG,209884,67
Pramipexole dihydrochloride,PRAMIPEXOLE DIHYDROCHLORIDE,Dr. Reddy's Laboratories Limited,55111-611,ORAL,HUMAN PRESCRIPTION DRUG,901546,55
purelax,POLYETHYLENE GLYCOL 3350,CVS Pharmacy,59779-306,ORAL,HUMAN OTC DRUG,876193,25
care one ibuprofen,IBUPROFEN,American Sales Company,41520-604,ORAL,HUMAN OTC DRUG,310965,31
Leflunomide,LEFLUNOMIDE,"Chartwell RX, LLC",62135-793,ORAL,HUMAN PRESCRIPTION DRUG,205284,98
Lubiprostone,LUBIPROSTONE,Dr. Reddy's Laboratories Inc.,43598-163,ORAL,HUMAN PRESCRIPTION DRUG,616578,88
Verapamil Hydrochloride,VERAPAMIL HYDROCHLORIDE,Bryant Ranch Prepack,63629-4337,ORAL,HUMAN PRESCRIPTION DRUG,897666,63
insect bite relief 01,MENTHOL,"Cosmuses Cosmetics (Ningbo) Co., Ltd.",82953-011,TOPICAL,HUMAN OTC DRUG,1371206,2
Ampicillin and Sulbactam,AMPICILLIN SODIUM AND SULBACTAM SODIUM,Meitheal Pharmaceuticals Inc.,71288-031,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,1659592,55
Gelato Topical Anesthetic,BENZOCAINE,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc",68400-350,DENTAL,HUMAN OTC DRUG,238910,63
health and .beyond Triple Antibiotic,"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE",Nantong Health & Beyond Hygienic Products Inc.,43473-050,TOPICAL,HUMAN OTC DRUG,204602,4
ziprasidone,ZIPRASIDONE,NorthStar Rx LLC,16714-835,ORAL,HUMAN PRESCRIPTION DRUG,313776,20
